player,total_hands,vpip_hands,pfr_hands,channels_played_count,months_played_count,channels_played,VPIP,PFR,heuristic_label,vpip_minus_pfr,cluster
Blade,98,69,26,1,1,holdem,70.40816326530613,26.53061224489796,LAG,43.87755102040817,3
Moze,98,49,4,1,1,holdem,50.0,4.081632653061225,Fish,45.91836734693877,0
Kiesha,98,46,3,1,2,holdem,46.93877551020408,3.061224489795918,Fish,43.87755102040816,0
oh-yeah,98,53,10,2,1,"holdem,holdem1",54.08163265306123,10.20408163265306,Fish,43.87755102040816,2
demon,98,37,7,1,2,holdem,37.755102040816325,7.142857142857142,Fish,30.612244897959183,0
Episodes,98,18,8,1,1,holdem,18.367346938775512,8.16326530612245,Rock,10.204081632653065,0
abc,98,33,5,1,3,holdem,33.6734693877551,5.1020408163265305,Fish,28.57142857142857,0
android,98,37,3,1,1,holdem1,37.755102040816325,3.061224489795918,Fish,34.69387755102041,0
K^9,98,42,12,2,1,"holdem,holdem1",42.85714285714285,12.244897959183673,Fish,30.61224489795918,0
RvrCheat,98,90,80,1,1,holdemii,91.83673469387756,81.63265306122449,LAG,10.204081632653072,1
McQueen,98,87,33,1,1,holdem,88.77551020408163,33.6734693877551,LAG,55.10204081632653,3
ifold,98,78,2,2,1,"holdem,holdem1",79.59183673469387,2.0408163265306123,Fish,77.55102040816325,2
Baldee,98,21,9,1,1,holdem,21.428571428571427,9.183673469387756,Rock,12.244897959183673,0
wigwam,98,57,22,1,1,holdem1,58.16326530612245,22.448979591836736,LAG,35.71428571428571,3
kowdow,98,39,14,1,1,holdem,39.795918367346935,14.285714285714285,Fish,25.51020408163265,0
Titleist,98,35,0,1,3,holdem,35.714285714285715,0.0,Fish,35.714285714285715,0
chupack,98,42,11,1,4,holdem,42.85714285714285,11.224489795918368,Fish,31.632653061224488,0
WndozeGui,98,38,16,1,1,holdem,38.775510204081634,16.3265306122449,LAG,22.448979591836736,0
cuntSuka,98,61,56,1,1,holdem,62.24489795918368,57.14285714285714,LAG,5.102040816326536,3
TB_Rox,97,64,25,1,1,holdem,65.97938144329896,25.773195876288657,LAG,40.20618556701031,3
dAcAr,97,79,8,1,3,holdem,81.44329896907216,8.24742268041237,Fish,73.19587628865979,2
GRDante,97,32,4,1,1,holdem,32.98969072164948,4.123711340206185,Fish,28.865979381443296,0
OscarM,97,71,9,1,2,holdem,73.19587628865979,9.278350515463918,Fish,63.91752577319587,2
Dr_Bliax,97,90,13,1,1,holdem,92.78350515463916,13.402061855670103,Fish,79.38144329896907,2
Ryno,97,44,11,1,2,holdem,45.36082474226804,11.34020618556701,Fish,34.02061855670103,0
Flame,97,24,6,2,1,"holdem,holdem1",24.742268041237114,6.185567010309279,Rock,18.55670103092784,0
chains,97,73,18,2,1,"holdem,holdem1",75.25773195876289,18.55670103092784,LAG,56.70103092783505,2
biithah,97,69,27,1,4,holdem,71.1340206185567,27.835051546391757,LAG,43.29896907216495,3
StingsGay,97,64,14,2,4,"holdem,holdem1",65.97938144329896,14.432989690721648,Fish,51.546391752577314,2
Weed,97,71,8,1,1,holdem,73.19587628865979,8.24742268041237,Fish,64.94845360824742,2
cake,97,31,11,1,2,holdem,31.95876288659793,11.34020618556701,Fish,20.61855670103093,0
T_Rubin,97,58,0,1,1,holdem,59.79381443298969,0.0,Fish,59.79381443298969,2
Larget,97,66,7,1,1,holdem,68.04123711340206,7.216494845360824,Fish,60.824742268041234,2
jayboner,97,72,23,2,2,"holdem,holdem1",74.22680412371135,23.711340206185564,LAG,50.51546391752578,3
fuhzeeY2K,97,32,5,2,1,"holdem,holdem1",32.98969072164948,5.154639175257731,Fish,27.83505154639175,0
touchdown,97,61,30,1,1,holdem,62.88659793814433,30.927835051546392,LAG,31.95876288659793,3
DaBlur,97,73,66,1,1,holdem,75.25773195876289,68.04123711340206,LAG,7.2164948453608275,1
ihuc17,97,49,10,1,2,holdem,50.51546391752577,10.309278350515465,Fish,40.20618556701031,0
nomos,97,38,15,1,1,holdem,39.175257731958766,15.463917525773196,LAG,23.711340206185568,0
wshan,97,52,3,1,2,holdem,53.608247422680414,3.0927835051546397,Fish,50.51546391752577,2
EMS,97,47,6,1,4,holdem,48.45360824742268,6.185567010309279,Fish,42.2680412371134,0
MrHat,97,34,10,1,1,holdem,35.051546391752574,10.309278350515465,Fish,24.74226804123711,0
Maaag,97,58,6,1,1,holdem,59.79381443298969,6.185567010309279,Fish,53.608247422680414,2
misskaty,97,93,74,1,1,holdem,95.8762886597938,76.28865979381443,LAG,19.587628865979383,1
ChrisD,97,48,4,2,5,"holdem,holdem1",49.48453608247423,4.123711340206185,Fish,45.36082474226804,0
tooch,97,88,47,1,1,holdem,90.72164948453609,48.45360824742268,LAG,42.26804123711341,1
dggod,97,50,9,1,1,holdem,51.546391752577314,9.278350515463918,Fish,42.268041237113394,2
Dat,97,74,6,2,1,"holdem,holdem1",76.28865979381443,6.185567010309279,Fish,70.10309278350515,2
skyhawk,97,43,5,1,2,holdem,44.329896907216494,5.154639175257731,Fish,39.175257731958766,0
Fun-gi,97,49,5,1,1,holdem,50.51546391752577,5.154639175257731,Fish,45.36082474226804,0
cheeto,97,82,20,2,1,"holdem,holdem1",84.5360824742268,20.61855670103093,LAG,63.91752577319588,3
justncase,97,43,13,1,2,holdem,44.329896907216494,13.402061855670103,Fish,30.92783505154639,0
OrangeWav,97,81,31,1,1,holdem,83.50515463917526,31.95876288659793,LAG,51.54639175257732,3
X_junkie,97,56,47,1,3,holdem,57.73195876288659,48.45360824742268,LAG,9.278350515463911,3
torman,97,87,32,1,1,holdem,89.69072164948454,32.98969072164948,LAG,56.70103092783506,3
DINGbat,97,45,3,1,1,holdem,46.39175257731959,3.0927835051546397,Fish,43.298969072164944,0
ewok,97,82,6,1,1,holdem,84.5360824742268,6.185567010309279,Fish,78.35051546391752,2
eeesh,97,48,2,1,1,holdem,49.48453608247423,2.061855670103093,Fish,47.422680412371136,0
dsotm2,97,21,3,1,1,holdem,21.649484536082475,3.0927835051546397,Rock,18.55670103092784,0
bigdaddy,97,80,11,1,1,holdem,82.4742268041237,11.34020618556701,Fish,71.13402061855669,2
Nobrainer,97,59,0,1,1,holdem,60.824742268041234,0.0,Fish,60.824742268041234,2
romulan,97,49,28,2,1,"holdem,holdem1",50.51546391752577,28.865979381443296,LAG,21.649484536082475,3
rivrmo,97,89,87,1,1,holdem,91.75257731958764,89.69072164948454,LAG,2.061855670103085,1
FluBoy,97,95,87,2,2,"holdem,holdem1",97.9381443298969,89.69072164948454,LAG,8.247422680412356,1
Foley,97,22,10,2,1,"holdem,holdem1",22.68041237113402,10.309278350515465,Rock,12.37113402061856,0
Eldon3,96,24,2,1,3,holdem,25.0,2.083333333333333,Fish,22.916666666666668,0
TOPDOGGY,96,20,0,1,1,holdem,20.833333333333336,0.0,Rock,20.833333333333336,0
fatass,96,71,43,1,2,holdem,73.95833333333334,44.79166666666667,LAG,29.16666666666667,3
Mainyu,96,26,3,1,1,holdem,27.08333333333333,3.125,Fish,23.95833333333333,0
Bla,96,39,9,1,1,holdem,40.625,9.375,Fish,31.25,0
The_Tao,96,28,9,1,1,holdem,29.166666666666668,9.375,Fish,19.791666666666668,0
fastray,96,74,45,1,1,holdem,77.08333333333334,46.875,LAG,30.208333333333343,3
h00ter,96,77,23,2,1,"holdem,holdem1",80.20833333333334,23.958333333333336,LAG,56.25000000000001,3
Perch,96,31,3,1,2,holdem,32.29166666666667,3.125,Fish,29.16666666666667,0
juli,96,74,0,1,1,holdem,77.08333333333334,0.0,Fish,77.08333333333334,2
pander,96,45,11,2,1,"holdem,holdem1",46.875,11.458333333333332,Fish,35.41666666666667,0
bogie,96,65,1,1,1,holdem1,67.70833333333334,1.0416666666666663,Fish,66.66666666666667,2
FilamanII,96,43,9,1,1,holdem,44.79166666666667,9.375,Fish,35.41666666666667,0
DoH,96,53,19,1,1,holdem,55.208333333333336,19.791666666666664,LAG,35.41666666666667,2
jpx,96,42,6,1,2,holdem,43.75,6.25,Fish,37.5,0
Gor,96,50,9,1,1,holdem,52.083333333333336,9.375,Fish,42.708333333333336,2
Cyranno,96,41,15,2,1,"holdem,holdem1",42.70833333333333,15.625,LAG,27.08333333333333,0
turkey101,96,40,11,1,1,holdem,41.66666666666667,11.458333333333332,Fish,30.20833333333334,0
weaky,96,69,0,1,2,holdem,71.875,0.0,Fish,71.875,2
Christer,96,51,23,1,1,holdem,53.125,23.958333333333336,LAG,29.166666666666664,3
Hauke,96,79,1,1,1,holdem,82.29166666666666,1.0416666666666663,Fish,81.24999999999999,2
FlpTitty2,96,37,4,1,1,holdem,38.54166666666667,4.166666666666666,Fish,34.37500000000001,0
ryan,96,53,2,1,1,holdem,55.208333333333336,2.083333333333333,Fish,53.125,2
Larry33,96,55,3,1,1,holdem,57.29166666666666,3.125,Fish,54.16666666666666,2
ScotchXX,96,80,44,1,1,holdem,83.33333333333334,45.83333333333333,LAG,37.500000000000014,3
bobo,96,42,8,1,1,holdem,43.75,8.333333333333332,Fish,35.41666666666667,0
TallGrrrl,96,56,27,1,2,holdem,58.333333333333336,28.125,LAG,30.208333333333336,3
noclue,96,47,3,2,1,"holdem,holdemii",48.95833333333333,3.125,Fish,45.83333333333333,0
frosty,96,24,14,1,2,holdem,25.0,14.583333333333334,Fish,10.416666666666666,0
Moxxy,96,51,5,1,1,holdem,53.125,5.208333333333334,Fish,47.91666666666666,2
marqz,96,46,13,1,3,holdem,47.91666666666667,13.541666666666666,Fish,34.37500000000001,0
BustaNut,96,51,17,1,1,holdem,53.125,17.708333333333336,LAG,35.416666666666664,2
Fivek,96,38,6,2,4,"holdem,holdem1",39.58333333333333,6.25,Fish,33.33333333333333,0
