Data      810590557  4  3 f   -     -     -         3785    0    0 
Data      810590563  4  2 Br  b     -     -         3785   60  120 
Data      810590601  4  1 Bcc kf    -     -         3845   40    0 
Data      810590622  4  4 r   b     -     -         3805   60  130 
Data      810590656  4  3 f   -     -     -         3875    0    0 
Data      810590695  4  2 Bf  -     -     -         3875   20    0 
Data      810590721  4  1 Bc  kf    -     -         3855   20    0 
Data      810590737  4  4 r   f     -     -         3835   40    0 
Data      810590749  4  3 f   -     -     -         3795    0    0 
Data      810590761  4  2 Bc  kf    -     -         3795   40    0 
Data      810590832  4  1 Bc  b     b     k         3755   80  240 2d Td
Data      810590862  3  3 f   -     -     -         3915    0    0 
Data      810590876  3  2 B   -     -     -         3915   20   30 
Data      810590880  3  1 Bc  bc    b     b         3925  140  340 
Data      810590927  3  3 rc  c     c     c         4125  160    0 8d Ad
Data      810590957  3  2 Bf  -     -     -         3965   20    0 
Data      810590976  3  1 Bf  -     -     -         3945   10    0 
Data      810590989  3  3 f   -     -     -         3935    0    0 
Data      810591016  3  2 Bc  kf    -     -         3935   40    0 
Data      810591068  3  1 Bf  -     -     -         3895   10    0 
Data      810591075  3  3 r   -     -     -         3885   40   70 
Data      810591080  3  2 Bc  b     kc    kc        3915  140  320 Ac 8h
Data      810591107  3  1 Bf  -     -     -         4095   10    0 
Data      810591124  3  3 r   bc    r     k         4085  160  340 Tc Kd
Data      810591161  3  2 B   -     -     -         4265   20   30 
Data      810591168  3  1 Bf  -     -     -         4275   10    0 
Data      810591200  3  3 rc  c     f     -         4265   80    0 
Data      810591215  3  2 Bc  kc    kr    -         4185  140  280 
Data      810591239  3  1 Bf  -     -     -         4325   10    0 
Data      810591261  3  3 f   -     -     -         4315    0    0 
Data      810591284  4  2 Bk  kf    -     -         4315   20    0 
Data      810591303  4  1 Bf  -     -     -         4295   10    0 
Data      810591349  4  4 cc  f     -     -         4285   40    0 
Data      810591385  4  3 KQ  -     -     -         4245    0    0 
Data      810591681  4  4 f   -     -     -         4245    0    0 
Data      810591708  4  3 f   -     -     -         4245    0    0 
Data      810591723  4  2 Bf  -     -     -         4245   20    0 
Data      810591765  5  1 Bf  -     -     -         4225   10    0 
Data      810591779  5  5 f   -     -     -         4215    0    0 
Data      810591804  5  4 cc  c     f     -         4215   60    0 
Data      810591839  5  3 Q   -     -     -         4155    0    0 
Data      810599709  5  4 f   -     -     -         4155    0    0 
Data      810599754  6  3 f   -     -     -         4155    0    0 
Data      810599814  6  2 Bf  -     -     -         4155   20    0 
Data      810599846  6  1 Bf  -     -     -         4135   10    0 
Data      810599910  6  6 r   k     c     r         4125  160  400 Ah Ks
Data      810599967  7  5 rc  r     bc    rc        4365  300    0 Jd Js
Data      810600052  7  4 c   kc    k     b         4065   80  190 Qh Qd
